segment_id	marker	intended_text	asr_text	similarity	wer	duration_sec	status	audio_path	qc_result	backend_status	note
marker-5-physics-c02	Marker 5	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	Like way too long, I ended up with four weight classes, light to super heavy.	0.9801	0.0625	7.440	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c02/take-01-clean.wav	pass	ok	
marker-5-physics-c03	Marker 5	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	it's on the minions and the bosses too so it isn't just a you know a floaty bullet hell you actually feel the	0.9908	0.0833	7.600	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c03/take-01-clean.wav	pass	ok	
marker-5-physics-c04	Marker 5	the momentum when you move.	The momentum when you move	1.0000	0.0000	2.080	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c04/take-01-clean.wav	pass	ok	
marker-6-vfx-c01	Marker 6	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	I added these trailing dash lines here I think they look okay actually	0.9150	0.2353	11.840	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-6-vfx-c01/take-01-clean.wav	warn	ok	
marker-10-the-dungeon-c01	Marker 10	So, this is the main dungeon loop. Traps, corridors...	So this is the main dungeon loop, traps, corridors	1.0000	0.0000	4.640	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c01/take-01-clean.wav	pass	ok	
marker-10-the-dungeon-c02	Marker 10	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	Some bloodstains and skulls for the atmosphere, you know, the good stuff.	0.9272	0.2000	5.440	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c02/take-01-clean.wav	pass	ok	
marker-14-lighting-c01	Marker 14	The, uh... the dynamic lighting.	the dynamic lighting	0.8511	0.4000	2.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c01/take-01-clean.wav	warn	ok	
marker-14-lighting-c02	Marker 14	That’s probably what I’m happiest with, honestly. I, um...	That's probably what I'm happiest with, honestly, I umm...	0.9524	0.4545	4.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c02/take-01-clean.wav	pass	ok	
marker-14-lighting-c03	Marker 14	I made it dark on purpose.	I made it dark on purpose	1.0000	0.0000	2.720	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c03/take-01-clean.wav	pass	ok	
marker-14-lighting-c04	Marker 14	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	I might do inverse lighting later, kind of like that Samurai Jack Shinobi scene where everything is white.	0.9858	0.0526	7.760	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c04/take-01-clean.wav	pass	ok	
marker-14-lighting-c05	Marker 14	Could be interesting.	Could be interesting.	1.0000	0.0000	1.440	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c05/take-01-clean.wav	pass	ok	
marker-11-treasure-c01	Marker 11	Treasure room. Just, uh... just health pots and some rare drops in here for now.	Treasure room just just health pots and some rare drops in here for now	0.9793	0.0667	6.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-11-treasure-c01/take-01-clean.wav	pass	ok	
marker-12-testing-c01	Marker 12	I’ve, uh... I’ve cleared this place like five times already with this character.	I've cleared this place like 5 times already with this character	0.8921	0.4000	4.960	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c01/take-01-clean.wav	warn	ok	
marker-12-testing-c02	Marker 12	So, yeah... they’re pretty overpowered at this point.	So yeah, they're pretty overpowered at this point.	0.9792	0.2222	2.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c02/take-01-clean.wav	pass	ok	
marker-13-procedural-gen-c01	Marker 13	The, um... the proc-gen.	The, um, the proc gen	1.0000	0.0000	2.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c01/take-01-clean.wav	pass	ok	
marker-13-procedural-gen-c02	Marker 13	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	It uses specific corridor and room logic. I didn't want a random mess of boxes.	0.9277	0.1667	7.200	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c02/take-01-clean.wav	pass	ok	
marker-13-procedural-gen-c03	Marker 13	I wanted it to feel like an actual maze you have to, you know, actually navigate.	I wanted it to feel like an actual maze, you have to, you know, actually navigate.	1.0000	0.0000	5.360	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c03/take-01-clean.wav	pass	ok	
marker-15-length-c01	Marker 15	Wait, this... this actually goes on for a while.	Wait this, this actually goes on for a while	1.0000	0.0000	3.600	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c01/take-01-clean.wav	pass	ok	
marker-15-length-c02	Marker 15	I should probably, uh... I should probably make the corridors shorter.	I should probably, I should probably make the corridors shorter.	0.9764	0.0909	4.480	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c02/take-01-clean.wav	pass	ok	
marker-15-length-c03	Marker 15	Or just, you know, dial back the room count.	Or just, you know, dial back the room count.	1.0000	0.0000	4.160	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c03/take-01-clean.wav	pass	ok	
marker-16-elites-c01	Marker 16	So, these are elite enemies. Basically mini-bosses.	So, these are elite enemies basically mini-bosses.	1.0000	0.0000	3.680	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c01/take-01-clean.wav	pass	ok	
marker-16-elites-c02	Marker 16	They have, uh... they have better gear drops and more aggressive movement.	They have better gear drops and more aggressive movement.	0.8960	0.2500	4.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c02/take-01-clean.wav	warn	ok	
marker-16-elites-c03	Marker 16	Nothing too crazy yet, though.	Nothing too crazy yet though	1.0000	0.0000	2.400	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c03/take-01-clean.wav	pass	ok	
marker-17-balancing-c01	Marker 17	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	Wait look at this this guy is just he's spamming way too many bombs	0.9559	0.2143	6.800	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c01/take-01-clean.wav	pass	ok	
marker-17-balancing-c02	Marker 17	I definitely need to, um... I need to fix that.	I definitely need to, I need to fix that.	0.9630	0.1000	4.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c02/take-01-clean.wav	pass	ok	
marker-18-stats-armor-c01	Marker 18	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	The traps, they're supposed to deal pure damage and just ignore armor.	0.9640	0.2143	5.040	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c01/take-01-clean.wav	pass	ok	
marker-18-stats-armor-c02	Marker 18	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	I have this Vitality stat for the HP region but it's honestly it's completely broken right now.	0.9192	0.2857	8.560	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c02/take-01-clean.wav	warn	ok	
marker-18-stats-armor-c03	Marker 18	Way too overpowered. Like, seriously.	way too overpowered like seriously	1.0000	0.0000	3.040	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c03/take-01-clean.wav	pass	ok	
marker-19-rare-rooms-c01	Marker 19	Rare decorated room. These, uh...	rare decorated room these	0.9434	0.2000	4.160	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c01/take-01-clean.wav	pass	ok	
marker-19-rare-rooms-c02	Marker 19	they spawn enemies that are basically bosses. But they’re rare, so, um...	They spawn enemies that are basically bosses, but they're rare, so...	0.9618	0.2308	4.640	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c02/take-01-clean.wav	pass	ok	
marker-19-rare-rooms-c03	Marker 19	probably won't see one here.	Probably won't see one here	1.0000	0.0000	2.240	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c03/take-01-clean.wav	pass	ok	
marker-20-progression-c01	Marker 20	The floors... they just keep descending until you hit the boss.	The floors, they just keep descending until you hit the boss.	1.0000	0.0000	4.080	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c01/take-01-clean.wav	pass	ok	
marker-20-progression-c02	Marker 20	I might, uh... I might add an infinite mode later that just, you know, loops forever.	I might, uh, I might add an infinite mode later that just, you know, loops forever.	1.0000	0.0000	6.160	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c02/take-01-clean.wav	pass	ok	
marker-21-hallways-c01	Marker 21	I, uh... I put enemies in the corridors to patrol the halls.	I put enemies in the corridors to patrol the halls.	0.9524	0.1667	4.240	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c01/take-01-clean.wav	pass	ok	
marker-21-hallways-c02	Marker 21	I’m thinking about a, um... a sneaking system, too.	I'm thinking about a sneaking system too.	0.9176	0.4000	4.718	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c02/take-01-clean.wav	warn	ok	
marker-21-hallways-c03	Marker 21	So you don't always have to just, you know, shoot your way through everything.	so you don't always have to just you know shoot your way through everything	1.0000	0.0000	4.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c03/take-01-clean.wav	pass	ok	
marker-22-inventory-stats-c01	Marker 22	Inventory is still—actually, wait, there’s an enchanting system in here.	Inventory is still actually wait there is an enchanting system in here	0.9928	0.0833	4.640	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c01/take-01-clean.wav	pass	ok	
marker-22-inventory-stats-c02	Marker 22	It technically shouldn't even be in this build yet, but, uh... whatever.	It technically shouldn't even be in this build yet, but whatever.	0.9767	0.0833	5.040	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c02/take-01-clean.wav	pass	ok	
marker-22-inventory-stats-c03	Marker 22	On the right is where you, um... where you apply points to Agility or Power.	On the right is where you apply points to agility or power.	0.8992	0.2000	5.920	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c03/take-01-clean.wav	warn	ok	
marker-23-items-movesets-c01	Marker 23	The, uh... the gear actually changes your moveset on Shift and Spacebar.	The gear actually changes your move set on shift and spacebar.	0.9375	0.3333	5.920	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c01/take-01-clean.wav	pass	ok	
marker-23-items-movesets-c02	Marker 23	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	Like, the short bow lets you kite with a triple shot that pushes you back.	0.9595	0.2500	7.040	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c02/take-01-clean.wav	pass	ok	
marker-23-items-movesets-c03	Marker 23	but the longsword lets you just, you know, dash in and shove enemies.	But the longsword lets you just, you know, dash in and show enemies.	0.9771	0.0769	4.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c03/take-01-clean.wav	pass	ok	
marker-26-the-boss-c01	Marker 26	And, uh... here’s the boss.	And here's the boss.	0.8780	0.5000	2.320	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c01/take-01-clean.wav	warn	ok	
marker-26-the-boss-c02	Marker 26	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	This is where I've been using Claude core and some custom codec strips to get the fractal bullet patterns working	0.9692	0.1500	6.560	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c02/take-01-clean.wav	pass	ok	
marker-26-the-boss-c03	Marker 26	The idea was to have this, um, mathematically beautiful chaos...	The idea was to have this mathematically beautiful chaos.	0.9739	0.1000	6.000	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c03/take-01-clean.wav	pass	ok	
marker-26-the-boss-c04	Marker 26	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	But right now he just kind of panics and shoots in random directions. I genuinely don't know why.	0.9895	0.1053	5.840	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c04/take-01-clean.wav	pass	ok	
marker-26-the-boss-c05	Marker 26	So, yeah. Work in progress.	So yeah, work in progress.	1.0000	0.0000	2.640	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c05/take-01-clean.wav	pass	ok	
marker-28-height-system-c01	Marker 28	Top-down games... they always feel so flat.	Top down games, they always feel so flat.	1.0000	0.0000	2.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c01/take-01-clean.wav	pass	ok	
marker-28-height-system-c02	Marker 28	Everything's the same level. So I’m using, uh...	Everything's the same level, so I'm using a...	0.9412	0.3333	3.440	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c02/take-01-clean.wav	pass	ok	
marker-28-height-system-c03	Marker 28	I'm using shaders and art to give the world actual elevation.	I'm using shaders and art to give the world actual elevation.	1.0000	0.0000	4.080	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c03/take-01-clean.wav	pass	ok	
marker-28-height-system-c04	Marker 28	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	I'll use this for, you know, fortified hills where you're fighting uphill against archers.	0.9770	0.2500	5.760	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c04/take-01-clean.wav	pass	ok	
marker-29-outro-c01	Marker 29	So, yeah. That’s pretty much it, I guess.	So yeah, that's pretty much it, I guess.	0.9730	0.2222	2.880	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c01/take-01-clean.wav	pass	ok	
marker-29-outro-c02	Marker 29	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	A lot of bugs still and the loop isn't well, it isn't fully tied yet.	0.9630	0.0667	5.840	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c02/take-01-clean.wav	pass	ok	
marker-29-outro-c03	Marker 29	But the bones are good. Anyway, um...	But the bones are good. Anyway, umm...	0.9846	0.1429	4.400	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c03/take-01-clean.wav	pass	ok	
marker-29-outro-c04	Marker 29	if you’re into this, subscribe. It actually helps.	If you're into this, subscribe, it actually helps.	0.9787	0.2222	2.800	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c04/take-01-clean.wav	pass	ok	
marker-29-outro-c05	Marker 29	Catch you in the next one.	Catch you in the next one.	1.0000	0.0000	1.920	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c05/take-01-clean.wav	pass	ok	
