segment_id	marker	original_text	synthesis_text	matched_terms	expected_replacements	asr_text	result	note
marker-15-length-c02	Marker 15	I should probably, uh... I should probably make the corridors shorter.	I should probably, uh... I should probably make the corridors shorter.			I should probably, I should probably make the corridors shorter.	n/a	
marker-15-length-c03	Marker 15	Or just, you know, dial back the room count.	Or just, you know, dial back the room count.			Or just, you know, dial back the room count.	n/a	
marker-16-elites-c01	Marker 16	So, these are elite enemies. Basically mini-bosses.	So, these are elite enemies. Basically mini-bosses.			So, these are elite enemies basically mini-bosses.	n/a	
marker-16-elites-c02	Marker 16	They have, uh... they have better gear drops and more aggressive movement.	They have, uh... they have better gear drops and more aggressive movement.			They have better gear drops and more aggressive movement.	n/a	
marker-16-elites-c03	Marker 16	Nothing too crazy yet, though.	Nothing too crazy yet, though.			Nothing too crazy yet though	n/a	
marker-17-balancing-c01	Marker 17	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.			Wait look at this this guy is just he's spamming way too many bombs	n/a	
marker-17-balancing-c02	Marker 17	I definitely need to, um... I need to fix that.	I definitely need to, um... I need to fix that.			I definitely need to, I need to fix that.	n/a	
marker-18-stats-armor-c01	Marker 18	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.			The traps, they're supposed to deal pure damage and just ignore armor.	n/a	
marker-18-stats-armor-c02	Marker 18	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.			I have this Vitality stat for the HP region but it's honestly it's completely broken right now.	n/a	
marker-18-stats-armor-c03	Marker 18	Way too overpowered. Like, seriously.	Way too overpowered. Like, seriously.			way too overpowered like seriously	n/a	
marker-19-rare-rooms-c01	Marker 19	Rare decorated room. These, uh...	Rare decorated room. These, uh...			rare decorated room these	n/a	
marker-19-rare-rooms-c02	Marker 19	they spawn enemies that are basically bosses. But they’re rare, so, um...	they spawn enemies that are basically bosses. But they’re rare, so, um...			They spawn enemies that are basically bosses, but they're rare, so...	n/a	
marker-19-rare-rooms-c03	Marker 19	probably won't see one here.	probably won't see one here.			Probably won't see one here	n/a	
marker-20-progression-c01	Marker 20	The floors... they just keep descending until you hit the boss.	The floors... they just keep descending until you hit the boss.			The floors, they just keep descending until you hit the boss.	n/a	
marker-20-progression-c02	Marker 20	I might, uh... I might add an infinite mode later that just, you know, loops forever.	I might, uh... I might add an infinite mode later that just, you know, loops forever.			I might, uh, I might add an infinite mode later that just, you know, loops forever.	n/a	
marker-21-hallways-c01	Marker 21	I, uh... I put enemies in the corridors to patrol the halls.	I, uh... I put enemies in the corridors to patrol the halls.			I put enemies in the corridors to patrol the halls.	n/a	
marker-21-hallways-c02	Marker 21	I’m thinking about a, um... a sneaking system, too.	I’m thinking about a, um... a sneaking system, too.			I'm thinking about a sneaking system too.	n/a	
marker-21-hallways-c03	Marker 21	So you don't always have to just, you know, shoot your way through everything.	So you don't always have to just, you know, shoot your way through everything.			so you don't always have to just you know shoot your way through everything	n/a	
marker-22-inventory-stats-c01	Marker 22	Inventory is still—actually, wait, there’s an enchanting system in here.	Inventory is still—actually, wait, there’s an enchanting system in here.			Inventory is still actually wait there is an enchanting system in here	n/a	
marker-22-inventory-stats-c02	Marker 22	It technically shouldn't even be in this build yet, but, uh... whatever.	It technically shouldn't even be in this build yet, but, uh... whatever.			It technically shouldn't even be in this build yet, but whatever.	n/a	
marker-22-inventory-stats-c03	Marker 22	On the right is where you, um... where you apply points to Agility or Power.	On the right is where you, um... where you apply points to Agility or Power.			On the right is where you apply points to agility or power.	n/a	
marker-23-items-movesets-c01	Marker 23	The, uh... the gear actually changes your moveset on Shift and Spacebar.	The, uh... the gear actually changes your moveset on Shift and Spacebar.			The gear actually changes your move set on shift and spacebar.	n/a	
marker-23-items-movesets-c02	Marker 23	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...			Like, the short bow lets you kite with a triple shot that pushes you back.	n/a	
marker-23-items-movesets-c03	Marker 23	but the longsword lets you just, you know, dash in and shove enemies.	but the longsword lets you just, you know, dash in and shove enemies.			But the longsword lets you just, you know, dash in and show enemies.	n/a	
marker-26-the-boss-c01	Marker 26	And, uh... here’s the boss.	And, uh... here’s the boss.			And here's the boss.	n/a	
marker-26-the-boss-c02	Marker 26	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.			This is where I've been using Claude core and some custom codec strips to get the fractal bullet patterns working	n/a	
marker-26-the-boss-c03	Marker 26	The idea was to have this, um, mathematically beautiful chaos...	The idea was to have this, um, mathematically beautiful chaos...			The idea was to have this mathematically beautiful chaos.	n/a	
marker-26-the-boss-c04	Marker 26	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.			But right now he just kind of panics and shoots in random directions. I genuinely don't know why.	n/a	
marker-26-the-boss-c05	Marker 26	So, yeah. Work in progress.	So, yeah. Work in progress.			So yeah, work in progress.	n/a	
marker-28-height-system-c01	Marker 28	Top-down games... they always feel so flat.	Top-down games... they always feel so flat.			Top down games, they always feel so flat.	n/a	
marker-28-height-system-c02	Marker 28	Everything's the same level. So I’m using, uh...	Everything's the same level. So I’m using, uh...			Everything's the same level, so I'm using a...	n/a	
marker-28-height-system-c03	Marker 28	I'm using shaders and art to give the world actual elevation.	I'm using shaders and art to give the world actual elevation.			I'm using shaders and art to give the world actual elevation.	n/a	
marker-28-height-system-c04	Marker 28	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.			I'll use this for, you know, fortified hills where you're fighting uphill against archers.	n/a	
marker-29-outro-c01	Marker 29	So, yeah. That’s pretty much it, I guess.	So, yeah. That’s pretty much it, I guess.			So yeah, that's pretty much it, I guess.	n/a	
marker-29-outro-c02	Marker 29	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.			A lot of bugs still and the loop isn't well, it isn't fully tied yet.	n/a	
marker-29-outro-c03	Marker 29	But the bones are good. Anyway, um...	But the bones are good. Anyway, um...			But the bones are good. Anyway, umm...	n/a	
marker-29-outro-c04	Marker 29	if you’re into this, subscribe. It actually helps.	if you’re into this, subscribe. It actually helps.			If you're into this, subscribe, it actually helps.	n/a	
marker-29-outro-c05	Marker 29	Catch you in the next one.	Catch you in the next one.			Catch you in the next one.	n/a	
