action	segment_id	marker	qc	status	approval	text	audio_path	notes
	marker-12-testing-c01	Marker 12	warn	ready	needs_manual_edit	I’ve, uh... I’ve cleared this place like five times already with this character.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c01/take-01-clean.wav	
	marker-12-testing-c02	Marker 12	pass	ready	baseline_approved	So, yeah... they’re pretty overpowered at this point.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c02/take-01-clean.wav	
	marker-13-procedural-gen-c01	Marker 13	pass	ready	baseline_approved	The, um... the proc-gen.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c01/take-01-clean.wav	
	marker-13-procedural-gen-c02	Marker 13	pass	ready	baseline_approved	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c02/take-01-clean.wav	
	marker-13-procedural-gen-c03	Marker 13	pass	ready	baseline_approved	I wanted it to feel like an actual maze you have to, you know, actually navigate.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c03/take-01-clean.wav	
	marker-15-length-c01	Marker 15	pass	ready	baseline_approved	Wait, this... this actually goes on for a while.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c01/take-01-clean.wav	
	marker-15-length-c02	Marker 15	pass	ready	baseline_approved	I should probably, uh... I should probably make the corridors shorter.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c02/take-01-clean.wav	
	marker-15-length-c03	Marker 15	pass	ready	baseline_approved	Or just, you know, dial back the room count.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c03/take-01-clean.wav	
	marker-16-elites-c01	Marker 16	pass	ready	baseline_approved	So, these are elite enemies. Basically mini-bosses.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c01/take-01-clean.wav	
	marker-16-elites-c02	Marker 16	warn	ready	needs_manual_edit	They have, uh... they have better gear drops and more aggressive movement.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c02/take-01-clean.wav	
	marker-16-elites-c03	Marker 16	pass	ready	baseline_approved	Nothing too crazy yet, though.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c03/take-01-clean.wav	
	marker-17-balancing-c01	Marker 17	pass	ready	baseline_approved	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c01/take-01-clean.wav	
	marker-17-balancing-c02	Marker 17	pass	ready	baseline_approved	I definitely need to, um... I need to fix that.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c02/take-01-clean.wav	
	marker-18-stats-armor-c01	Marker 18	pass	ready	baseline_approved	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c01/take-01-clean.wav	
	marker-18-stats-armor-c02	Marker 18	warn	ready	needs_manual_edit	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c02/take-01-clean.wav	
	marker-18-stats-armor-c03	Marker 18	pass	ready	baseline_approved	Way too overpowered. Like, seriously.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c03/take-01-clean.wav	
	marker-19-rare-rooms-c01	Marker 19	pass	ready	baseline_approved	Rare decorated room. These, uh...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c01/take-01-clean.wav	
	marker-19-rare-rooms-c02	Marker 19	pass	ready	baseline_approved	they spawn enemies that are basically bosses. But they’re rare, so, um...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c02/take-01-clean.wav	
	marker-19-rare-rooms-c03	Marker 19	pass	ready	baseline_approved	probably won't see one here.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c03/take-01-clean.wav	
	marker-20-progression-c01	Marker 20	pass	ready	baseline_approved	The floors... they just keep descending until you hit the boss.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c01/take-01-clean.wav	
	marker-20-progression-c02	Marker 20	pass	ready	baseline_approved	I might, uh... I might add an infinite mode later that just, you know, loops forever.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c02/take-01-clean.wav	
	marker-21-hallways-c01	Marker 21	pass	ready	baseline_approved	I, uh... I put enemies in the corridors to patrol the halls.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c01/take-01-clean.wav	
	marker-21-hallways-c02	Marker 21	warn	ready	needs_manual_edit	I’m thinking about a, um... a sneaking system, too.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c02/take-01-clean.wav	
	marker-21-hallways-c03	Marker 21	pass	ready	baseline_approved	So you don't always have to just, you know, shoot your way through everything.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c03/take-01-clean.wav	
	marker-22-inventory-stats-c01	Marker 22	pass	ready	baseline_approved	Inventory is still—actually, wait, there’s an enchanting system in here.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c01/take-01-clean.wav	
	marker-22-inventory-stats-c02	Marker 22	pass	ready	baseline_approved	It technically shouldn't even be in this build yet, but, uh... whatever.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c02/take-01-clean.wav	
	marker-22-inventory-stats-c03	Marker 22	warn	ready	needs_manual_edit	On the right is where you, um... where you apply points to Agility or Power.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c03/take-01-clean.wav	
	marker-23-items-movesets-c01	Marker 23	pass	ready	baseline_approved	The, uh... the gear actually changes your moveset on Shift and Spacebar.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c01/take-01-clean.wav	
	marker-23-items-movesets-c02	Marker 23	pass	ready	baseline_approved	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c02/take-01-clean.wav	
	marker-23-items-movesets-c03	Marker 23	pass	ready	baseline_approved	but the longsword lets you just, you know, dash in and shove enemies.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c03/take-01-clean.wav	
	marker-26-the-boss-c01	Marker 26	warn	ready	needs_manual_edit	And, uh... here’s the boss.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c01/take-01-clean.wav	
	marker-26-the-boss-c02	Marker 26	pass	ready	baseline_approved	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c02/take-01-clean.wav	
	marker-26-the-boss-c03	Marker 26	pass	ready	baseline_approved	The idea was to have this, um, mathematically beautiful chaos...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c03/take-01-clean.wav	
	marker-26-the-boss-c04	Marker 26	pass	ready	baseline_approved	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c04/take-01-clean.wav	
	marker-26-the-boss-c05	Marker 26	pass	ready	baseline_approved	So, yeah. Work in progress.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c05/take-01-clean.wav	
	marker-28-height-system-c01	Marker 28	pass	ready	baseline_approved	Top-down games... they always feel so flat.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c01/take-01-clean.wav	
	marker-28-height-system-c02	Marker 28	pass	ready	baseline_approved	Everything's the same level. So I’m using, uh...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c02/take-01-clean.wav	
	marker-28-height-system-c03	Marker 28	pass	ready	baseline_approved	I'm using shaders and art to give the world actual elevation.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c03/take-01-clean.wav	
	marker-28-height-system-c04	Marker 28	pass	ready	baseline_approved	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c04/take-01-clean.wav	
	marker-29-outro-c01	Marker 29	pass	ready	baseline_approved	So, yeah. That’s pretty much it, I guess.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c01/take-01-clean.wav	
	marker-29-outro-c02	Marker 29	pass	ready	baseline_approved	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c02/take-01-clean.wav	
	marker-29-outro-c03	Marker 29	pass	ready	baseline_approved	But the bones are good. Anyway, um...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c03/take-01-clean.wav	
	marker-29-outro-c04	Marker 29	pass	ready	baseline_approved	if you’re into this, subscribe. It actually helps.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c04/take-01-clean.wav	
	marker-29-outro-c05	Marker 29	pass	ready	baseline_approved	Catch you in the next one.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c05/take-01-clean.wav	
