order	marker	segment_id	text	synthesis_text	audio_path	status	gen_sec	duration_sec	asr_similarity	wer	qc_result	backend_status	approval_decision	notes
27	Marker 13	marker-13-procedural-gen-c03	I wanted it to feel like an actual maze you have to, you know, actually navigate.	I wanted it to feel like an actual maze you have to, you know, actually navigate.	outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c03/take-01-clean.wav	ready	63.659	5.360	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
28	Marker 15	marker-15-length-c01	Wait, this... this actually goes on for a while.	Wait, this... this actually goes on for a while.	outputs/qwen3-reftext-full-v2/marker-15-length-c01/take-01-clean.wav	ready	49.832	3.600	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
29	Marker 15	marker-15-length-c02	I should probably, uh... I should probably make the corridors shorter.	I should probably, uh... I should probably make the corridors shorter.	outputs/qwen3-reftext-full-v2/marker-15-length-c02/take-01-clean.wav	ready	60.26	4.480	0.9764	0.0909	pass	ok	baseline_approved	baseline approved for comparison
30	Marker 15	marker-15-length-c03	Or just, you know, dial back the room count.	Or just, you know, dial back the room count.	outputs/qwen3-reftext-full-v2/marker-15-length-c03/take-01-clean.wav	ready	52.85	4.160	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
31	Marker 16	marker-16-elites-c01	So, these are elite enemies. Basically mini-bosses.	So, these are elite enemies. Basically mini-bosses.	outputs/qwen3-reftext-full-v2/marker-16-elites-c01/take-01-clean.wav	ready	52.732	3.680	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
32	Marker 16	marker-16-elites-c02	They have, uh... they have better gear drops and more aggressive movement.	They have, uh... they have better gear drops and more aggressive movement.	outputs/qwen3-reftext-full-v2/marker-16-elites-c02/take-01-clean.wav	ready	65.876	4.320	0.8960	0.2500	warn	ok	needs_manual_edit	qc_warn: similarity=0.8960 wer=0.2500
33	Marker 16	marker-16-elites-c03	Nothing too crazy yet, though.	Nothing too crazy yet, though.	outputs/qwen3-reftext-full-v2/marker-16-elites-c03/take-01-clean.wav	ready	46.49	2.400	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
34	Marker 17	marker-17-balancing-c01	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	outputs/qwen3-reftext-full-v2/marker-17-balancing-c01/take-01-clean.wav	ready	84.893	6.800	0.9559	0.2143	pass	ok	baseline_approved	baseline approved for comparison
35	Marker 17	marker-17-balancing-c02	I definitely need to, um... I need to fix that.	I definitely need to, um... I need to fix that.	outputs/qwen3-reftext-full-v2/marker-17-balancing-c02/take-01-clean.wav	ready	54.442	4.320	0.9630	0.1000	pass	ok	baseline_approved	baseline approved for comparison
36	Marker 18	marker-18-stats-armor-c01	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c01/take-01-clean.wav	ready	62.018	5.040	0.9640	0.2143	pass	ok	baseline_approved	baseline approved for comparison
37	Marker 18	marker-18-stats-armor-c02	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c02/take-01-clean.wav	ready	86.418	8.560	0.9192	0.2857	warn	ok	needs_manual_edit	qc_warn: similarity=0.9192 wer=0.2857
38	Marker 18	marker-18-stats-armor-c03	Way too overpowered. Like, seriously.	Way too overpowered. Like, seriously.	outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c03/take-01-clean.wav	ready	45.438	3.040	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
39	Marker 19	marker-19-rare-rooms-c01	Rare decorated room. These, uh...	Rare decorated room. These, uh...	outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c01/take-01-clean.wav	ready	53.648	4.160	0.9434	0.2000	pass	ok	baseline_approved	baseline approved for comparison
40	Marker 19	marker-19-rare-rooms-c02	they spawn enemies that are basically bosses. But they’re rare, so, um...	they spawn enemies that are basically bosses. But they’re rare, so, um...	outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c02/take-01-clean.wav	ready	57.592	4.640	0.9618	0.2308	pass	ok	baseline_approved	baseline approved for comparison
41	Marker 19	marker-19-rare-rooms-c03	probably won't see one here.	probably won't see one here.	outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c03/take-01-clean.wav	ready	38.364	2.240	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
42	Marker 20	marker-20-progression-c01	The floors... they just keep descending until you hit the boss.	The floors... they just keep descending until you hit the boss.	outputs/qwen3-reftext-full-v2/marker-20-progression-c01/take-01-clean.wav	ready	54.842	4.080	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
43	Marker 20	marker-20-progression-c02	I might, uh... I might add an infinite mode later that just, you know, loops forever.	I might, uh... I might add an infinite mode later that just, you know, loops forever.	outputs/qwen3-reftext-full-v2/marker-20-progression-c02/take-01-clean.wav	ready	74.921	6.160	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
44	Marker 21	marker-21-hallways-c01	I, uh... I put enemies in the corridors to patrol the halls.	I, uh... I put enemies in the corridors to patrol the halls.	outputs/qwen3-reftext-full-v2/marker-21-hallways-c01/take-01-clean.wav	ready	61.575	4.240	0.9524	0.1667	pass	ok	baseline_approved	baseline approved for comparison
45	Marker 21	marker-21-hallways-c02	I’m thinking about a, um... a sneaking system, too.	I’m thinking about a, um... a sneaking system, too.	outputs/qwen3-reftext-full-v2/marker-21-hallways-c02/take-01-clean.wav	ready	61.182	4.718	0.9176	0.4000	warn	ok	needs_manual_edit	qc_warn: similarity=0.9176 wer=0.4000
46	Marker 21	marker-21-hallways-c03	So you don't always have to just, you know, shoot your way through everything.	So you don't always have to just, you know, shoot your way through everything.	outputs/qwen3-reftext-full-v2/marker-21-hallways-c03/take-01-clean.wav	ready	59.458	4.320	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
47	Marker 22	marker-22-inventory-stats-c01	Inventory is still—actually, wait, there’s an enchanting system in here.	Inventory is still—actually, wait, there’s an enchanting system in here.	outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c01/take-01-clean.wav	ready	61.675	4.640	0.9928	0.0833	pass	ok	baseline_approved	baseline approved for comparison
48	Marker 22	marker-22-inventory-stats-c02	It technically shouldn't even be in this build yet, but, uh... whatever.	It technically shouldn't even be in this build yet, but, uh... whatever.	outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c02/take-01-clean.wav	ready	59.312	5.040	0.9767	0.0833	pass	ok	baseline_approved	baseline approved for comparison
49	Marker 22	marker-22-inventory-stats-c03	On the right is where you, um... where you apply points to Agility or Power.	On the right is where you, um... where you apply points to Agility or Power.	outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c03/take-01-clean.wav	ready	73.072	5.920	0.8992	0.2000	warn	ok	needs_manual_edit	qc_warn: similarity=0.8992 wer=0.2000
50	Marker 23	marker-23-items-movesets-c01	The, uh... the gear actually changes your moveset on Shift and Spacebar.	The, uh... the gear actually changes your moveset on Shift and Spacebar.	outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c01/take-01-clean.wav	ready	75.349	5.920	0.9375	0.3333	pass	ok	baseline_approved	baseline approved for comparison
51	Marker 23	marker-23-items-movesets-c02	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c02/take-01-clean.wav	ready	79.472	7.040	0.9595	0.2500	pass	ok	baseline_approved	baseline approved for comparison
52	Marker 23	marker-23-items-movesets-c03	but the longsword lets you just, you know, dash in and shove enemies.	but the longsword lets you just, you know, dash in and shove enemies.	outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c03/take-01-clean.wav	ready	61.717	4.880	0.9771	0.0769	pass	ok	baseline_approved	baseline approved for comparison
53	Marker 26	marker-26-the-boss-c01	And, uh... here’s the boss.	And, uh... here’s the boss.	outputs/qwen3-reftext-full-v2/marker-26-the-boss-c01/take-01-clean.wav	ready	44.009	2.320	0.8780	0.5000	warn	ok	needs_manual_edit	qc_warn: similarity=0.8780 wer=0.5000
54	Marker 26	marker-26-the-boss-c02	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	outputs/qwen3-reftext-full-v2/marker-26-the-boss-c02/take-01-clean.wav	ready	85.721	6.560	0.9692	0.1500	pass	ok	baseline_approved	baseline approved for comparison
55	Marker 26	marker-26-the-boss-c03	The idea was to have this, um, mathematically beautiful chaos...	The idea was to have this, um, mathematically beautiful chaos...	outputs/qwen3-reftext-full-v2/marker-26-the-boss-c03/take-01-clean.wav	ready	80.765	6.000	0.9739	0.1000	pass	ok	baseline_approved	baseline approved for comparison
56	Marker 26	marker-26-the-boss-c04	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	outputs/qwen3-reftext-full-v2/marker-26-the-boss-c04/take-01-clean.wav	ready	73.507	5.840	0.9895	0.1053	pass	ok	baseline_approved	baseline approved for comparison
57	Marker 26	marker-26-the-boss-c05	So, yeah. Work in progress.	So, yeah. Work in progress.	outputs/qwen3-reftext-full-v2/marker-26-the-boss-c05/take-01-clean.wav	ready	45.242	2.640	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
58	Marker 28	marker-28-height-system-c01	Top-down games... they always feel so flat.	Top-down games... they always feel so flat.	outputs/qwen3-reftext-full-v2/marker-28-height-system-c01/take-01-clean.wav	ready	46.784	2.880	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
59	Marker 28	marker-28-height-system-c02	Everything's the same level. So I’m using, uh...	Everything's the same level. So I’m using, uh...	outputs/qwen3-reftext-full-v2/marker-28-height-system-c02/take-01-clean.wav	ready	54.147	3.440	0.9412	0.3333	pass	ok	baseline_approved	baseline approved for comparison
60	Marker 28	marker-28-height-system-c03	I'm using shaders and art to give the world actual elevation.	I'm using shaders and art to give the world actual elevation.	outputs/qwen3-reftext-full-v2/marker-28-height-system-c03/take-01-clean.wav	ready	54.333	4.080	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
61	Marker 28	marker-28-height-system-c04	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	outputs/qwen3-reftext-full-v2/marker-28-height-system-c04/take-01-clean.wav	ready	67.532	5.760	0.9770	0.2500	pass	ok	baseline_approved	baseline approved for comparison
62	Marker 29	marker-29-outro-c01	So, yeah. That’s pretty much it, I guess.	So, yeah. That’s pretty much it, I guess.	outputs/qwen3-reftext-full-v2/marker-29-outro-c01/take-01-clean.wav	ready	46.364	2.880	0.9730	0.2222	pass	ok	baseline_approved	baseline approved for comparison
63	Marker 29	marker-29-outro-c02	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	outputs/qwen3-reftext-full-v2/marker-29-outro-c02/take-01-clean.wav	ready	73.192	5.840	0.9630	0.0667	pass	ok	baseline_approved	baseline approved for comparison
64	Marker 29	marker-29-outro-c03	But the bones are good. Anyway, um...	But the bones are good. Anyway, um...	outputs/qwen3-reftext-full-v2/marker-29-outro-c03/take-01-clean.wav	ready	53.195	4.400	0.9846	0.1429	pass	ok	baseline_approved	baseline approved for comparison
65	Marker 29	marker-29-outro-c04	if you’re into this, subscribe. It actually helps.	if you’re into this, subscribe. It actually helps.	outputs/qwen3-reftext-full-v2/marker-29-outro-c04/take-01-clean.wav	ready	49.639	2.800	0.9787	0.2222	pass	ok	baseline_approved	baseline approved for comparison
66	Marker 29	marker-29-outro-c05	Catch you in the next one.	Catch you in the next one.	outputs/qwen3-reftext-full-v2/marker-29-outro-c05/take-01-clean.wav	ready	38.639	1.920	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
