id	marker	title	chunk_index	style	text	synthesis_text
marker-16-elites-c01	Marker 16	Elites	1	grounded	So, these are elite enemies. Basically mini-bosses.	So, these are elite enemies. Basically mini-bosses.
marker-16-elites-c02	Marker 16	Elites	2	grounded	They have, uh... they have better gear drops and more aggressive movement.	They have, uh... they have better gear drops and more aggressive movement.
marker-16-elites-c03	Marker 16	Elites	3	grounded	Nothing too crazy yet, though.	Nothing too crazy yet, though.
marker-17-balancing-c01	Marker 17	Balancing	1	sarcastic	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.	Wait, look at this—this guy's just, uh... he's spamming way too many bombs.
marker-17-balancing-c02	Marker 17	Balancing	2	sarcastic	I definitely need to, um... I need to fix that.	I definitely need to, um... I need to fix that.
marker-18-stats-armor-c01	Marker 18	Stats & Armor	1	grounded	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.	The traps... they’re supposed to deal pure damage and just, uh, ignore armor.
marker-18-stats-armor-c02	Marker 18	Stats & Armor	2	grounded	I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now.	I have this Vitality stat for the, uh, for the hit point regen, but it’s... honestly, it's completely broken right now.
marker-18-stats-armor-c03	Marker 18	Stats & Armor	3	grounded	Way too overpowered. Like, seriously.	Way too overpowered. Like, seriously.
marker-19-rare-rooms-c01	Marker 19	Rare Rooms	1	grounded	Rare decorated room. These, uh...	Rare decorated room. These, uh...
marker-19-rare-rooms-c02	Marker 19	Rare Rooms	2	grounded	they spawn enemies that are basically bosses. But they’re rare, so, um...	they spawn enemies that are basically bosses. But they’re rare, so, um...
marker-19-rare-rooms-c03	Marker 19	Rare Rooms	3	grounded	probably won't see one here.	probably won't see one here.
marker-20-progression-c01	Marker 20	Progression	1	grounded	The floors... they just keep descending until you hit the boss.	The floors... they just keep descending until you hit the boss.
marker-20-progression-c02	Marker 20	Progression	2	grounded	I might, uh... I might add an infinite mode later that just, you know, loops forever.	I might, uh... I might add an infinite mode later that just, you know, loops forever.
marker-21-hallways-c01	Marker 21	Hallways	1	grounded	I, uh... I put enemies in the corridors to patrol the halls.	I, uh... I put enemies in the corridors to patrol the halls.
marker-21-hallways-c02	Marker 21	Hallways	2	grounded	I’m thinking about a, um... a sneaking system, too.	I’m thinking about a, um... a sneaking system, too.
marker-21-hallways-c03	Marker 21	Hallways	3	grounded	So you don't always have to just, you know, shoot your way through everything.	So you don't always have to just, you know, shoot your way through everything.
marker-22-inventory-stats-c01	Marker 22	Inventory & Stats	1	grounded	Inventory is still—actually, wait, there’s an enchanting system in here.	Inventory is still—actually, wait, there’s an enchanting system in here.
marker-22-inventory-stats-c02	Marker 22	Inventory & Stats	2	grounded	It technically shouldn't even be in this build yet, but, uh... whatever.	It technically shouldn't even be in this build yet, but, uh... whatever.
marker-22-inventory-stats-c03	Marker 22	Inventory & Stats	3	grounded	On the right is where you, um... where you apply points to Agility or Power.	On the right is where you, um... where you apply points to Agility or Power.
marker-23-items-movesets-c01	Marker 23	Items & Movesets	1	grounded	The, uh... the gear actually changes your moveset on Shift and Spacebar.	The, uh... the gear actually changes your moveset on Shift and Spacebar.
marker-23-items-movesets-c02	Marker 23	Items & Movesets	2	grounded	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...	Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back...
marker-23-items-movesets-c03	Marker 23	Items & Movesets	3	grounded	but the longsword lets you just, you know, dash in and shove enemies.	but the longsword lets you just, you know, dash in and shove enemies.
marker-26-the-boss-c01	Marker 26	The Boss	1	grounded	And, uh... here’s the boss.	And, uh... here’s the boss.
marker-26-the-boss-c02	Marker 26	The Boss	2	grounded	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.	This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working.
marker-26-the-boss-c03	Marker 26	The Boss	3	grounded	The idea was to have this, um, mathematically beautiful chaos...	The idea was to have this, um, mathematically beautiful chaos...
marker-26-the-boss-c04	Marker 26	The Boss	4	grounded	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.	but right now he just kind of panics and shoots in random directions. I genuinely don’t know why.
marker-26-the-boss-c05	Marker 26	The Boss	5	grounded	So, yeah. Work in progress.	So, yeah. Work in progress.
marker-28-height-system-c01	Marker 28	Height System	1	grounded	Top-down games... they always feel so flat.	Top-down games... they always feel so flat.
marker-28-height-system-c02	Marker 28	Height System	2	grounded	Everything's the same level. So I’m using, uh...	Everything's the same level. So I’m using, uh...
marker-28-height-system-c03	Marker 28	Height System	3	grounded	I'm using shaders and art to give the world actual elevation.	I'm using shaders and art to give the world actual elevation.
marker-28-height-system-c04	Marker 28	Height System	4	grounded	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.	I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.
marker-29-outro-c01	Marker 29	Outro	1	laidback	So, yeah. That’s pretty much it, I guess.	So, yeah. That’s pretty much it, I guess.
marker-29-outro-c02	Marker 29	Outro	2	laidback	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.	A lot of bugs still, and the loop isn't... well, it isn't fully tight yet.
marker-29-outro-c03	Marker 29	Outro	3	laidback	But the bones are good. Anyway, um...	But the bones are good. Anyway, um...
marker-29-outro-c04	Marker 29	Outro	4	laidback	if you’re into this, subscribe. It actually helps.	if you’re into this, subscribe. It actually helps.
marker-29-outro-c05	Marker 29	Outro	5	laidback	Catch you in the next one.	Catch you in the next one.
