segment_id	take	decision	note	updated_at	audio_path
marker-15-length-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997286+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c01/take-01-clean.wav
marker-15-length-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997289+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c02/take-01-clean.wav
marker-15-length-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997292+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-15-length-c03/take-01-clean.wav
marker-16-elites-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997296+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c01/take-01-clean.wav
marker-16-elites-c02	take-01	needs_manual_edit	qc_warn: similarity=0.8960 wer=0.2500	2026-05-12T23:22:04.895747+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c02/take-01-clean.wav
marker-16-elites-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997303+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-16-elites-c03/take-01-clean.wav
marker-17-balancing-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997307+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c01/take-01-clean.wav
marker-17-balancing-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997310+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-17-balancing-c02/take-01-clean.wav
marker-18-stats-armor-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997327+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c01/take-01-clean.wav
marker-18-stats-armor-c02	take-01	needs_manual_edit	qc_warn: similarity=0.9192 wer=0.2857	2026-05-12T23:22:04.895753+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c02/take-01-clean.wav
marker-18-stats-armor-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997334+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-18-stats-armor-c03/take-01-clean.wav
marker-19-rare-rooms-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997338+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c01/take-01-clean.wav
marker-19-rare-rooms-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997341+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c02/take-01-clean.wav
marker-19-rare-rooms-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997345+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-19-rare-rooms-c03/take-01-clean.wav
marker-20-progression-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997348+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c01/take-01-clean.wav
marker-20-progression-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997352+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-20-progression-c02/take-01-clean.wav
marker-21-hallways-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997356+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c01/take-01-clean.wav
marker-21-hallways-c02	take-01	needs_manual_edit	qc_warn: similarity=0.9176 wer=0.4000	2026-05-12T23:22:04.895769+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c02/take-01-clean.wav
marker-21-hallways-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997362+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-21-hallways-c03/take-01-clean.wav
marker-22-inventory-stats-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997366+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c01/take-01-clean.wav
marker-22-inventory-stats-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997371+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c02/take-01-clean.wav
marker-22-inventory-stats-c03	take-01	needs_manual_edit	qc_warn: similarity=0.8992 wer=0.2000	2026-05-12T23:22:04.895772+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-22-inventory-stats-c03/take-01-clean.wav
marker-23-items-movesets-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997379+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c01/take-01-clean.wav
marker-23-items-movesets-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997383+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c02/take-01-clean.wav
marker-23-items-movesets-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997386+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-23-items-movesets-c03/take-01-clean.wav
marker-26-the-boss-c01	take-01	needs_manual_edit	qc_warn: similarity=0.8780 wer=0.5000	2026-05-12T23:22:04.895774+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c01/take-01-clean.wav
marker-26-the-boss-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997393+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c02/take-01-clean.wav
marker-26-the-boss-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997397+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c03/take-01-clean.wav
marker-26-the-boss-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997400+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c04/take-01-clean.wav
marker-26-the-boss-c05	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997403+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-26-the-boss-c05/take-01-clean.wav
marker-28-height-system-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997407+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c01/take-01-clean.wav
marker-28-height-system-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997410+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c02/take-01-clean.wav
marker-28-height-system-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997414+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c03/take-01-clean.wav
marker-28-height-system-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997418+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-28-height-system-c04/take-01-clean.wav
marker-29-outro-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997421+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c01/take-01-clean.wav
marker-29-outro-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997425+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c02/take-01-clean.wav
marker-29-outro-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997428+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c03/take-01-clean.wav
marker-29-outro-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997431+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c04/take-01-clean.wav
marker-29-outro-c05	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997435+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-29-outro-c05/take-01-clean.wav
marker-4-intro-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997206+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c01/take-01-clean.wav
marker-4-intro-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997210+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c02/take-01-clean.wav
marker-4-intro-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997213+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c03/take-01-clean.wav
marker-4-intro-c04	take-01	needs_retry	qc_fail: similarity=0.7541 wer=0.6250	2026-05-12T23:22:04.895386+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c04/take-01-clean.wav
marker-5-physics-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997220+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c01/take-01-clean.wav
marker-5-physics-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997224+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c02/take-01-clean.wav
marker-5-physics-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997228+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c03/take-01-clean.wav
marker-5-physics-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997232+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c04/take-01-clean.wav
marker-6-vfx-c01	take-01	needs_manual_edit	qc_warn: similarity=0.9150 wer=0.2353	2026-05-12T23:22:04.895701+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-6-vfx-c01/take-01-clean.wav
